home,away,homeOdd,drawOdd,awaysOdd,homeR,awayR,matchtime,leagueWK,day
WAT,LIV,6.08,4.37,1.52,0,3,16:32:00,WEEK 34,Friday
EVE,NWC,2.38,3.20,3.13,0,2,16:32:00,WEEK 34,Friday
TOT,BUR,1.46,4.38,7.18,3,1,16:32:00,WEEK 34,Friday
BOU,MNU,3.54,3.00,2.30,0,1,16:32:00,WEEK 34,Friday
BRI,ASV,2.29,3.02,3.53,0,1,16:32:00,WEEK 34,Friday
CHE,NOR,1.46,4.38,7.18,3,1,16:32:00,WEEK 34,Friday
WHU,SOU,1.94,3.32,4.25,1,0,16:32:00,WEEK 34,Friday
WOL,MNC,4.16,3.81,1.82,2,1,16:32:00,WEEK 34,Friday
SHU,CRY,3.02,3.19,2.46,1,1,16:32:00,WEEK 34,Friday
ARS,LEI,2.05,3.21,3.95,1,1,16:32:00,WEEK 34,Friday
LIV,WOL,1.57,4.03,6.02,2,0,16:34:00,WEEK 35,Friday
SOU,WAT,2.29,3.00,3.54,1,0,16:34:00,WEEK 35,Friday
BUR,WHU,3.55,2.98,2.30,0,2,16:34:00,WEEK 35,Friday
LEI,SHU,1.55,4.05,6.24,3,0,16:34:00,WEEK 35,Friday
BRI,BOU,2.29,3.02,3.53,3,3,16:34:00,WEEK 35,Friday
CRY,EVE,3.00,3.16,2.49,5,1,16:34:00,WEEK 35,Friday
NOR,TOT,4.38,3.33,1.91,1,3,16:34:00,WEEK 35,Friday
ASV,CHE,3.54,3.00,2.30,0,3,16:34:00,WEEK 35,Friday
MNC,ARS,1.77,3.63,4.72,2,1,16:34:00,WEEK 35,Friday
NWC,MNU,2.48,3.20,2.98,2,2,16:34:00,WEEK 35,Friday
TOT,ASV,1.65,3.63,5.82,3,1,16:36:00,WEEK 36,Friday
SHU,MNC,8.62,4.90,1.36,0,1,16:36:00,WEEK 36,Friday
CHE,BRI,1.65,3.63,5.82,2,1,16:36:00,WEEK 36,Friday
WOL,SOU,1.86,3.42,4.51,0,0,16:36:00,WEEK 36,Friday
MNU,CRY,1.86,3.41,4.51,3,0,16:36:00,WEEK 36,Friday
BOU,NWC,3.03,3.20,2.44,3,1,16:36:00,WEEK 36,Friday
WAT,BUR,1.76,3.44,5.15,1,1,16:36:00,WEEK 36,Friday
EVE,LEI,2.15,3.09,3.79,2,2,16:36:00,WEEK 36,Friday
ARS,LIV,3.52,3.65,2.02,5,0,16:36:00,WEEK 36,Friday
WHU,NOR,1.55,4.05,6.24,2,0,16:36:00,WEEK 36,Friday
CHE,BOU,1.65,3.63,5.82,3,3,16:38:00,WEEK 37,Friday
ASV,WHU,2.88,3.14,2.59,0,0,16:38:00,WEEK 37,Friday
BRI,TOT,3.54,3.00,2.30,2,2,16:38:00,WEEK 37,Friday
SOU,ARS,3.19,3.18,2.36,1,3,16:38:00,WEEK 37,Friday
CRY,NWC,3.00,3.16,2.49,1,1,16:38:00,WEEK 37,Friday
NOR,WAT,3.02,3.19,2.46,1,1,16:38:00,WEEK 37,Friday
LIV,SHU,1.23,6.21,13.0,1,0,16:38:00,WEEK 37,Friday
BUR,WOL,3.84,3.16,2.10,1,1,16:38:00,WEEK 37,Friday
LEI,MNU,2.88,3.23,2.53,0,2,16:38:00,WEEK 37,Friday
MNC,EVE,1.57,4.03,6.02,3,1,16:38:00,WEEK 37,Friday
WAT,ASV,1.96,3.25,4.27,2,0,16:40:00,WEEK 38,Friday
NWC,LEI,2.15,3.09,3.79,2,2,16:40:00,WEEK 38,Friday
SHU,SOU,3.02,3.19,2.46,1,5,16:40:00,WEEK 38,Friday
WOL,NOR,1.46,4.36,7.20,5,0,16:40:00,WEEK 38,Friday
BOU,CRY,2.45,3.19,3.03,1,1,16:40:00,WEEK 38,Friday
TOT,CHE,2.43,3.24,3.02,1,0,16:40:00,WEEK 38,Friday
MNU,MNC,3.52,3.65,2.02,0,1,16:40:00,WEEK 38,Friday
EVE,LIV,4.16,3.81,1.82,2,1,16:40:00,WEEK 38,Friday
ARS,BUR,1.46,4.38,7.18,3,2,16:40:00,WEEK 38,Friday
WHU,BRI,1.77,3.43,5.15,2,1,16:40:00,WEEK 38,Friday
ASV,MNC,7.60,4.66,1.42,1,1,16:42:00,WEEK 01,Friday
BOU,BRI,2.29,3.02,3.53,2,3,16:42:00,WEEK 01,Friday
WOL,MNU,2.48,3.20,2.98,0,1,16:42:00,WEEK 01,Friday
WAT,LIV,6.08,4.37,1.52,0,3,16:42:00,WEEK 01,Friday
SHU,CRY,3.02,3.19,2.46,1,2,16:42:00,WEEK 01,Friday
